,sent_file,token,lemma,from,to,semtag,output
1791,pmb-4.0.0/data/en/gold/p08/d2210/en.drs.xml,"['ø', 'Tom', 'always', 'complains', ',', 'does', ""n't"", 'he', '?']","['ø', 'tom', 'time', 'complain', ',', 'do', 'not', 'male', '?']","[0, 0, 4, 11, 20, 22, 26, 30, 32]","[-1, 3, 10, 20, 21, 26, 29, 32, 33]","['DEF', 'PER', 'AND', 'ENS', 'NIL', 'NOW', 'NOT', 'PRO', 'QUE']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'AND: ', 'always', '; ', 'ENS: ', 'complains', '; ', 'NIL: ', ',', '; ', 'NOW: ', 'does', '; ', 'NOT: ', ""n't"", '; ', 'PRO: ', 'he', '; ', 'QUE: ', '?']"
4848,pmb-4.0.0/data/en/gold/p34/d1930/en.drs.xml,"['I', 'am', 'called', 'ø', 'Sara', '.']","['speaker', 'be', 'call', 'ø', 'sara', '.']","[0, 2, 5, 12, 12, 16]","[1, 4, 11, -1, 16, 17]","['PRO', 'NOW', 'EXS', 'DIS', 'LIT', 'NIL']","['PRO: ', 'I', '; ', 'NOW: ', 'am', '; ', 'EXS: ', 'called', '; ', 'DIS: ', 'ø', '; ', 'LIT: ', 'Sara', '; ', 'NIL: ', '.']"
7105,pmb-4.0.0/data/en/gold/p59/d2024/en.drs.xml,"['My', 'mobile~phone', 'is', 'handy', '.']","['speaker', 'mobile~phone', 'be', 'handy', '.']","[0, 3, 16, 19, 24]","[2, 15, 18, 24, 25]","['HAS', 'CON', 'NOW', 'IST', 'NIL']","['HAS: ', 'My', '; ', 'CON: ', 'mobile~phone', '; ', 'NOW: ', 'is', '; ', 'IST: ', 'handy', '; ', 'NIL: ', '.']"
6449,pmb-4.0.0/data/en/gold/p50/d3147/en.drs.xml,"['She', 'weighs', 'ø', '120', 'pounds', '.']","['female', 'weigh', 'ø', '120', 'pound', '.']","[0, 4, 11, 11, 15, 21]","[3, 10, -1, 14, 21, 22]","['PRO', 'ENS', 'DIS', 'QUC', 'UOM', 'NIL']","['PRO: ', 'She', '; ', 'ENS: ', 'weighs', '; ', 'DIS: ', 'ø', '; ', 'QUC: ', '120', '; ', 'UOM: ', 'pounds', '; ', 'NIL: ', '.']"
46,pmb-4.0.0/data/en/gold/p00/d0869/en.drs.xml,"['The', 'customer', 'is', 'always', 'right', '.']","['the', 'customer', 'be', 'time', 'right', '.']","[0, 4, 13, 16, 23, 28]","[3, 12, 15, 22, 28, 29]","['DEF', 'ROL', 'NOW', 'AND', 'IST', 'NIL']","['DEF: ', 'The', '; ', 'ROL: ', 'customer', '; ', 'NOW: ', 'is', '; ', 'AND: ', 'always', '; ', 'IST: ', 'right', '; ', 'NIL: ', '.']"
1150,pmb-4.0.0/data/en/gold/p04/d2576/en.drs.xml,"['I', 'slept', '.']","['speaker', 'sleep', '.']","[0, 2, 7]","[1, 7, 8]","['PRO', 'EPS', 'NIL']","['PRO: ', 'I', '; ', 'EPS: ', 'slept', '; ', 'NIL: ', '.']"
2237,pmb-4.0.0/data/en/gold/p10/d3297/en.drs.xml,"['We', 'concurred', '.']","['speaker', 'concur', '.']","[0, 3, 12]","[2, 12, 13]","['PRO', 'EPS', 'NIL']","['PRO: ', 'We', '; ', 'EPS: ', 'concurred', '; ', 'NIL: ', '.']"
3300,pmb-4.0.0/data/en/gold/p19/d3140/en.drs.xml,"['You', 'can', 'not', 'tame', 'a', 'wolf', '.']","['person', 'can', 'not', 'tame', 'a', 'wolf', '.']","[0, 4, 7, 11, 16, 18, 22]","[3, 7, 10, 15, 17, 22, 23]","['AND', 'POS', 'NOT', 'EXS', 'DIS', 'CON', 'NIL']","['AND: ', 'You', '; ', 'POS: ', 'can', '; ', 'NOT: ', 'not', '; ', 'EXS: ', 'tame', '; ', 'DIS: ', 'a', '; ', 'CON: ', 'wolf', '; ', 'NIL: ', '.']"
769,pmb-4.0.0/data/en/gold/p02/d2533/en.drs.xml,"['ø', 'Tom', 'is', 'extremely', 'motivated', '.']","['ø', 'tom', 'be', 'extremely', 'motivated', '.']","[0, 0, 4, 7, 17, 26]","[-1, 3, 6, 16, 26, 27]","['DEF', 'PER', 'NOW', 'INT', 'IST', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', 'is', '; ', 'INT: ', 'extremely', '; ', 'IST: ', 'motivated', '; ', 'NIL: ', '.']"
7159,pmb-4.0.0/data/en/gold/p60/d0099/en.drs.xml,"['My', 'grandmother', 'is', 'already', 'ø', 'more~than', 'ninety', 'years', 'old', '.']","['speaker', 'grandmother', 'be', 'already', 'ø', 'more~than', '90', 'year', 'old', '.']","[0, 3, 15, 18, 26, 26, 36, 43, 49, 52]","[2, 14, 17, 25, -1, 35, 42, 48, 52, 53]","['HAS', 'ROL', 'NOW', 'ALT', 'DIS', 'MOR', 'QUC', 'UOM', 'DEG', 'NIL']","['HAS: ', 'My', '; ', 'ROL: ', 'grandmother', '; ', 'NOW: ', 'is', '; ', 'ALT: ', 'already', '; ', 'DIS: ', 'ø', '; ', 'MOR: ', 'more~than', '; ', 'QUC: ', 'ninety', '; ', 'UOM: ', 'years', '; ', 'DEG: ', 'old', '; ', 'NIL: ', '.']"
10039,pmb-4.0.0/data/en/gold/p92/d3483/en.drs.xml,"['He', 'was', 'substituted', 'for', 'his', 'father', '.']","['male', 'be', 'substitute', 'for', 'male', 'father', '.']","[0, 3, 7, 19, 23, 27, 33]","[2, 6, 18, 22, 26, 33, 34]","['PRO', 'PST', 'EXS', 'REL', 'HAS', 'ROL', 'NIL']","['PRO: ', 'He', '; ', 'PST: ', 'was', '; ', 'EXS: ', 'substituted', '; ', 'REL: ', 'for', '; ', 'HAS: ', 'his', '; ', 'ROL: ', 'father', '; ', 'NIL: ', '.']"
2762,pmb-4.0.0/data/en/gold/p15/d0765/en.drs.xml,"['ø', 'Lin~Piao', 'wrote', 'the', '""', 'Little~Red~Book', '""', '.']","['ø', 'lin~piao', 'write', 'the', '""', 'little~red~book', '""', '.']","[0, 0, 9, 15, 19, 20, 35, 36]","[-1, 8, 14, 18, 20, 35, 36, 37]","['DEF', 'PER', 'EPS', 'DEF', 'NIL', 'ART', 'NIL', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Lin~Piao', '; ', 'EPS: ', 'wrote', '; ', 'DEF: ', 'the', '; ', 'NIL: ', '""', '; ', 'ART: ', 'Little~Red~Book', '; ', 'NIL: ', '""', '; ', 'NIL: ', '.']"
5793,pmb-4.0.0/data/en/gold/p44/d1558/en.drs.xml,"['He', 'speaks', 'ø', 'Chinese', '.']","['male', 'speak', 'ø', 'chinese', '.']","[0, 3, 10, 10, 17]","[2, 9, -1, 17, 18]","['PRO', 'ENS', 'DIS', 'CON', 'NIL']","['PRO: ', 'He', '; ', 'ENS: ', 'speaks', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'Chinese', '; ', 'NIL: ', '.']"
2277,pmb-4.0.0/data/en/gold/p11/d0910/en.drs.xml,"['The', 'committee', 'consists', 'of', 'ø', 'twelve', 'members', '.']","['the', 'committee', 'consist', 'of', 'ø', '12', 'member', '.']","[0, 4, 14, 23, 26, 26, 33, 40]","[3, 13, 22, 25, -1, 32, 40, 41]","['DEF', 'CON', 'ENS', 'REL', 'DIS', 'QUC', 'ROL', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'committee', '; ', 'ENS: ', 'consists', '; ', 'REL: ', 'of', '; ', 'DIS: ', 'ø', '; ', 'QUC: ', 'twelve', '; ', 'ROL: ', 'members', '; ', 'NIL: ', '.']"
5579,pmb-4.0.0/data/en/gold/p41/d2459/en.drs.xml,"['Are', ""n't"", 'those', 'your', 'parents', '?']","['be', 'not', 'person', 'hearer', 'parent', '?']","[0, 3, 7, 13, 18, 25]","[3, 6, 12, 17, 25, 26]","['ENS', 'NOT', 'DST', 'HAS', 'ROL', 'QUE']","['ENS: ', 'Are', '; ', 'NOT: ', ""n't"", '; ', 'DST: ', 'those', '; ', 'HAS: ', 'your', '; ', 'ROL: ', 'parents', '; ', 'QUE: ', '?']"
4722,pmb-4.0.0/data/en/gold/p32/d2912/en.drs.xml,"['She', 'charged', 'me', 'with', 'ø', 'dishonesty', '.']","['female', 'charge', 'speaker', 'with', 'ø', 'dishonesty', '.']","[0, 4, 12, 15, 20, 20, 30]","[3, 11, 14, 19, -1, 30, 31]","['PRO', 'EPS', 'PRO', 'REL', 'DIS', 'CON', 'NIL']","['PRO: ', 'She', '; ', 'EPS: ', 'charged', '; ', 'PRO: ', 'me', '; ', 'REL: ', 'with', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'dishonesty', '; ', 'NIL: ', '.']"
11,pmb-4.0.0/data/en/gold/p00/d0719/en.drs.xml,"['ø', 'Russia', 'fears', 'the', 'system', '.']","['ø', 'russia', 'fear', 'the', 'system', '.']","[0, 0, 7, 13, 17, 23]","[-1, 6, 12, 16, 23, 24]","['DEF', 'GPE', 'ENS', 'DEF', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'GPE: ', 'Russia', '; ', 'ENS: ', 'fears', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'system', '; ', 'NIL: ', '.']"
8441,pmb-4.0.0/data/en/gold/p75/d0853/en.drs.xml,"['The', 'alarm~clock', 'wakes', 'me', 'at', 'ø', 'seven', '.']","['the', 'alarm~clock', 'wake', 'speaker', 'at', 'ø', '07:00', '.']","[0, 4, 16, 22, 25, 28, 28, 33]","[3, 15, 21, 24, 27, -1, 33, 34]","['DEF', 'CON', 'EFS', 'PRO', 'REL', 'DEF', 'CLO', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'alarm~clock', '; ', 'EFS: ', 'wakes', '; ', 'PRO: ', 'me', '; ', 'REL: ', 'at', '; ', 'DEF: ', 'ø', '; ', 'CLO: ', 'seven', '; ', 'NIL: ', '.']"
8761,pmb-4.0.0/data/en/gold/p78/d3411/en.drs.xml,"['The', 'talk', 'dragged', 'on', 'till', 'ø', ""three~o'clock"", '.']","['the', 'talk', 'drag~on', 'on', 'till', 'ø', '15:00', '.']","[0, 4, 9, 17, 20, 25, 25, 38]","[3, 8, 16, 19, 24, -1, 38, 39]","['DEF', 'CON', 'EPS', 'REL', 'REL', 'DEF', 'CLO', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'talk', '; ', 'EPS: ', 'dragged', '; ', 'REL: ', 'on', '; ', 'REL: ', 'till', '; ', 'DEF: ', 'ø', '; ', 'CLO: ', ""three~o'clock"", '; ', 'NIL: ', '.']"
2403,pmb-4.0.0/data/en/gold/p12/d1391/en.drs.xml,"['To', 'whom', 'is', 'ø', 'Shostakovich', ""'s"", 'String~Quartet~No.~8', 'dedicated', '?']","['to', 'person', 'be', 'ø', 'shostakovich', ""'s"", 'string~quartet~no.~8', 'dedicate', '?']","[0, 3, 8, 11, 11, 23, 26, 47, 56]","[2, 7, 10, -1, 23, 25, 46, 56, 57]","['REL', 'QUE', 'ENS', 'DEF', 'PER', 'HAS', 'ART', 'EXS', 'QUE']","['REL: ', 'To', '; ', 'QUE: ', 'whom', '; ', 'ENS: ', 'is', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Shostakovich', '; ', 'HAS: ', ""'s"", '; ', 'ART: ', 'String~Quartet~No.~8', '; ', 'EXS: ', 'dedicated', '; ', 'QUE: ', '?']"
8852,pmb-4.0.0/data/en/gold/p79/d3500/en.drs.xml,"['ø', 'Tom', ""'s"", 'up', '.']","['ø', 'tom', 'be', 'up', '.']","[0, 0, 3, 6, 8]","[-1, 3, 5, 8, 9]","['DEF', 'PER', 'NOW', 'IST', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', ""'s"", '; ', 'IST: ', 'up', '; ', 'NIL: ', '.']"
834,pmb-4.0.0/data/en/gold/p02/d3478/en.drs.xml,"['He', 'was', 'stabbed', 'in', 'the', 'back', '.']","['male', 'be', 'stab', 'in', 'the', 'back', '.']","[0, 3, 7, 15, 18, 22, 26]","[2, 6, 14, 17, 21, 26, 27]","['PRO', 'PST', 'EXS', 'REL', 'DEF', 'CON', 'NIL']","['PRO: ', 'He', '; ', 'PST: ', 'was', '; ', 'EXS: ', 'stabbed', '; ', 'REL: ', 'in', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'back', '; ', 'NIL: ', '.']"
3674,pmb-4.0.0/data/en/gold/p22/d2673/en.drs.xml,"['ø', 'Tom', 'is', 'chopping', 'ø', 'wood', '.']","['ø', 'tom', 'be', 'chop', 'ø', 'wood', '.']","[0, 0, 4, 7, 16, 16, 20]","[-1, 3, 6, 15, -1, 20, 21]","['DEF', 'PER', 'NOW', 'EXG', 'DIS', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', 'is', '; ', 'EXG: ', 'chopping', '; ', 'DEF: ', 'ø', '; ', 'CON: ', 'wood', '; ', 'NIL: ', '.']"
6441,pmb-4.0.0/data/en/gold/p50/d3050/en.drs.xml,"['There', 'are', 'always', 'a', 'lot', 'of', 'ø', 'vehicles', 'on', 'this', 'road', '.']","['there', 'be', 'time', 'a', '+', 'of', 'ø', 'vehicle', 'on', 'this', 'road', '.']","[0, 6, 10, 17, 19, 23, 26, 26, 35, 38, 43, 47]","[5, 9, 16, 18, 22, 25, -1, 34, 37, 42, 47, 48]","['NIL', 'ENS', 'AND', 'DIS', 'QUV', 'REL', 'DIS', 'CON', 'REL', 'PRX', 'CON', 'NIL']","['NIL: ', 'There', '; ', 'ENS: ', 'are', '; ', 'AND: ', 'always', '; ', 'DIS: ', 'a', '; ', 'QUV: ', 'lot', '; ', 'REL: ', 'of', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'vehicles', '; ', 'REL: ', 'on', '; ', 'PRX: ', 'this', '; ', 'CON: ', 'road', '; ', 'NIL: ', '.']"
7098,pmb-4.0.0/data/en/gold/p59/d1760/en.drs.xml,"['ø', 'Tom', 'grimaced', 'bravely', '.']","['ø', 'tom', 'grimace', 'bravely', '.']","[0, 0, 4, 13, 20]","[-1, 3, 12, 20, 21]","['DEF', 'PER', 'EPS', 'IST', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'grimaced', '; ', 'IST: ', 'bravely', '; ', 'NIL: ', '.']"
9210,pmb-4.0.0/data/en/gold/p83/d1787/en.drs.xml,"['ø', 'Tom', 'told', 'ø', 'Mary', 'that', 'she', 'looked', 'like', 'ø', 'Marilyn~Monroe', '.']","['ø', 'tom', 'tell', 'ø', 'mary', 'that', 'female', 'look', 'like', 'ø', 'marilyn~monroe', '.']","[0, 0, 4, 9, 9, 14, 19, 23, 30, 35, 35, 49]","[-1, 3, 8, -1, 13, 18, 22, 29, 34, -1, 49, 50]","['DEF', 'PER', 'EPS', 'DEF', 'PER', 'SUB', 'PRO', 'EPS', 'REL', 'DEF', 'PER', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'told', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Mary', '; ', 'SUB: ', 'that', '; ', 'PRO: ', 'she', '; ', 'EPS: ', 'looked', '; ', 'REL: ', 'like', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Marilyn~Monroe', '; ', 'NIL: ', '.']"
330,pmb-4.0.0/data/en/gold/p00/d2803/en.drs.xml,"['My', 'son', 'will', 'take', 'over', 'the', 'job', '.']","['speaker', 'son', 'will', 'take~over', 'over', 'the', 'job', '.']","[0, 3, 7, 12, 17, 22, 26, 29]","[2, 6, 11, 16, 21, 25, 29, 30]","['HAS', 'ROL', 'FUT', 'EXS', 'REL', 'DEF', 'CON', 'NIL']","['HAS: ', 'My', '; ', 'ROL: ', 'son', '; ', 'FUT: ', 'will', '; ', 'EXS: ', 'take', '; ', 'REL: ', 'over', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'job', '; ', 'NIL: ', '.']"
1562,pmb-4.0.0/data/en/gold/p07/d0817/en.drs.xml,"['I', 'was', 'born', 'in', 'ø', 'America', '.']","['speaker', 'be', 'bear', 'in', 'ø', 'america', '.']","[0, 2, 6, 11, 14, 14, 21]","[1, 5, 10, 13, -1, 21, 22]","['PRO', 'PST', 'EXS', 'REL', 'DEF', 'GPE', 'NIL']","['PRO: ', 'I', '; ', 'PST: ', 'was', '; ', 'EXS: ', 'born', '; ', 'REL: ', 'in', '; ', 'DEF: ', 'ø', '; ', 'GPE: ', 'America', '; ', 'NIL: ', '.']"
4458,pmb-4.0.0/data/en/gold/p30/d2033/en.drs.xml,"['ø', 'Breakfast', 'is', 'served', 'at', 'ø', 'seven~a.m.']","['ø', 'breakfast', 'be', 'serve', 'at', 'ø', '07:00']","[0, 0, 10, 13, 20, 23, 23]","[-1, 9, 12, 19, 22, -1, 33]","['DIS', 'CON', 'NOW', 'EXS', 'REL', 'DEF', 'CLO']","['DIS: ', 'ø', '; ', 'CON: ', 'Breakfast', '; ', 'NOW: ', 'is', '; ', 'EXS: ', 'served', '; ', 'REL: ', 'at', '; ', 'DIS: ', 'ø', '; ', 'CLO: ', 'seven~a.m.']"
5071,pmb-4.0.0/data/en/gold/p36/d2853/en.drs.xml,"['Everyone', 'smiled', '.']","['person', 'smile', '.']","[0, 9, 15]","[8, 15, 16]","['AND', 'EPS', 'NIL']","['AND: ', 'Everyone', '; ', 'EPS: ', 'smiled', '; ', 'NIL: ', '.']"
6517,pmb-4.0.0/data/en/gold/p51/d2176/en.drs.xml,"['He', 'is', 'ø', 'two', 'years', 'older', 'than', 'you', '.']","['male', 'be', 'ø', '2', 'year', 'old', 'than', 'hearer', '.']","[0, 3, 6, 6, 10, 16, 22, 27, 30]","[2, 5, -1, 9, 15, 21, 26, 30, 31]","['PRO', 'NOW', 'DIS', 'QUC', 'UOM', 'MOR', 'REL', 'PRO', 'NIL']","['PRO: ', 'He', '; ', 'NOW: ', 'is', '; ', 'DIS: ', 'ø', '; ', 'QUC: ', 'two', '; ', 'UOM: ', 'years', '; ', 'MOR: ', 'older', '; ', 'REL: ', 'than', '; ', 'PRO: ', 'you', '; ', 'NIL: ', '.']"
5133,pmb-4.0.0/data/en/gold/p37/d1770/en.drs.xml,"['I', ""'m"", 'on', 'the', 'eighth', 'floor', '.']","['speaker', 'be', 'on', 'the', '8', 'floor', '.']","[0, 1, 4, 7, 11, 18, 23]","[1, 3, 6, 10, 17, 23, 24]","['PRO', 'ENS', 'REL', 'DEF', 'ORD', 'CON', 'NIL']","['PRO: ', 'I', '; ', 'ENS: ', ""'m"", '; ', 'REL: ', 'on', '; ', 'DEF: ', 'the', '; ', 'ORD: ', 'eighth', '; ', 'CON: ', 'floor', '; ', 'NIL: ', '.']"
8348,pmb-4.0.0/data/en/gold/p73/d2469/en.drs.xml,"['I', 'need', 'a', 'pencil', '.', 'Can', 'I', 'use', 'one', 'of', 'yours', '?']","['speaker', 'need', 'a', 'pencil', '.', 'can', 'speaker', 'use', 'pencil', 'of', 'hearer', '?']","[0, 2, 7, 9, 15, 17, 21, 23, 27, 31, 34, 39]","[1, 6, 8, 15, 16, 20, 22, 26, 30, 33, 39, 40]","['PRO', 'ENS', 'DIS', 'CON', 'NIL', 'POS', 'PRO', 'EXS', 'CON', 'REL', 'HAS', 'QUE']","['PRO: ', 'I', '; ', 'ENS: ', 'need', '; ', 'DIS: ', 'a', '; ', 'CON: ', 'pencil', '; ', 'NIL: ', '.', '; ', 'POS: ', 'Can', '; ', 'PRO: ', 'I', '; ', 'EXS: ', 'use', '; ', 'CON: ', 'one', '; ', 'REL: ', 'of', '; ', 'HAS: ', 'yours', '; ', 'QUE: ', '?']"
5233,pmb-4.0.0/data/en/gold/p38/d2377/en.drs.xml,"['ø', 'Tom', 'is', 'ø', 'about', 'three', 'years', 'older', 'than', 'ø', 'Mary', '.']","['ø', 'tom', 'be', 'ø', 'about', '3', 'year', 'old', 'than', 'ø', 'mary', '.']","[0, 0, 4, 7, 7, 13, 19, 25, 31, 36, 36, 40]","[-1, 3, 6, -1, 12, 18, 24, 30, 35, -1, 40, 41]","['DEF', 'PER', 'NOW', 'DIS', 'APX', 'QUC', 'UOM', 'MOR', 'REL', 'DEF', 'PER', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', 'is', '; ', 'DEF: ', 'ø', '; ', 'APX: ', 'about', '; ', 'QUC: ', 'three', '; ', 'UOM: ', 'years', '; ', 'MOR: ', 'older', '; ', 'REL: ', 'than', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Mary', '; ', 'NIL: ', '.']"
7681,pmb-4.0.0/data/en/gold/p65/d2150/en.drs.xml,"['ø', 'Tom', 'watched', 'the', ""6~o'clock"", 'news', '.']","['ø', 'tom', 'watch', 'the', '18:00', 'news', '.']","[0, 0, 4, 12, 16, 26, 30]","[-1, 3, 11, 15, 25, 30, 31]","['DEF', 'PER', 'EPS', 'DEF', 'CLO', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'watched', '; ', 'DEF: ', 'the', '; ', 'CLO: ', ""6~o'clock"", '; ', 'CON: ', 'news', '; ', 'NIL: ', '.']"
10199,pmb-4.0.0/data/en/gold/p94/d3089/en.drs.xml,"['ø', 'Tom', 'massaged', 'my', 'temples', 'with', 'his', 'fingers', '.']","['ø', 'tom', 'massage', 'speaker', 'temple', 'with', 'male', 'finger', '.']","[0, 0, 4, 13, 16, 24, 29, 33, 40]","[-1, 3, 12, 15, 23, 28, 32, 40, 41]","['DEF', 'PER', 'EPS', 'HAS', 'CON', 'REL', 'HAS', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'massaged', '; ', 'HAS: ', 'my', '; ', 'CON: ', 'temples', '; ', 'REL: ', 'with', '; ', 'HAS: ', 'his', '; ', 'CON: ', 'fingers', '; ', 'NIL: ', '.']"
2450,pmb-4.0.0/data/en/gold/p12/d2347/en.drs.xml,"['We', 'enjoyed', 'ourselves', '.']","['speaker', 'enjoy', 'speaker', '.']","[0, 3, 11, 20]","[2, 10, 20, 21]","['PRO', 'EPS', 'REF', 'NIL']","['PRO: ', 'We', '; ', 'EPS: ', 'enjoyed', '; ', 'REF: ', 'ourselves', '; ', 'NIL: ', '.']"
6418,pmb-4.0.0/data/en/gold/p50/d2734/en.drs.xml,"['I', 'visited', 'ø', 'Tom', 'in', 'ø', 'Boston', 'ø', 'three', 'years', 'ago', '.']","['speaker', 'visit', 'ø', 'tom', 'in', 'ø', 'boston', 'ø', '3', 'year', 'ago', '.']","[0, 2, 10, 10, 14, 17, 17, 24, 24, 30, 36, 39]","[1, 9, -1, 13, 16, -1, 23, -1, 29, 35, 39, 40]","['PRO', 'EPS', 'DEF', 'PER', 'REL', 'DEF', 'GPE', 'DIS', 'QUC', 'UOM', 'PST', 'NIL']","['PRO: ', 'I', '; ', 'EPS: ', 'visited', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'REL: ', 'in', '; ', 'DEF: ', 'ø', '; ', 'GPE: ', 'Boston', '; ', 'DEF: ', 'ø', '; ', 'QUC: ', 'three', '; ', 'UOM: ', 'years', '; ', 'PST: ', 'ago', '; ', 'NIL: ', '.']"
9926,pmb-4.0.0/data/en/gold/p91/d2767/en.drs.xml,"['She', 'sat', 'next', 'to', 'him', 'on', 'the', 'bus', '.']","['female', 'sit', 'next', 'to', 'male', 'on', 'the', 'bus', '.']","[0, 4, 8, 13, 16, 20, 23, 27, 30]","[3, 7, 12, 15, 19, 22, 26, 30, 31]","['PRO', 'EPS', 'IST', 'REL', 'PRO', 'REL', 'DEF', 'CON', 'NIL']","['PRO: ', 'She', '; ', 'EPS: ', 'sat', '; ', 'IST: ', 'next', '; ', 'REL: ', 'to', '; ', 'PRO: ', 'him', '; ', 'REL: ', 'on', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'bus', '; ', 'NIL: ', '.']"
7871,pmb-4.0.0/data/en/gold/p68/d1679/en.drs.xml,"['ø', 'Tom', 'dozed', 'off', 'during', 'the', 'meeting', '.']","['ø', 'tom', 'doze~off', 'off', 'during', 'the', 'meeting', '.']","[0, 0, 4, 10, 14, 21, 25, 32]","[-1, 3, 9, 13, 20, 24, 32, 33]","['DEF', 'PER', 'EPS', 'REL', 'REL', 'DEF', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'dozed', '; ', 'REL: ', 'off', '; ', 'REL: ', 'during', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'meeting', '; ', 'NIL: ', '.']"
1525,pmb-4.0.0/data/en/gold/p06/d3097/en.drs.xml,"['I', 'like', 'your', 'dogs', '.']","['speaker', 'like', 'hearer', 'dog', '.']","[0, 2, 7, 12, 16]","[1, 6, 11, 16, 17]","['PRO', 'ENS', 'HAS', 'CON', 'NIL']","['PRO: ', 'I', '; ', 'ENS: ', 'like', '; ', 'HAS: ', 'your', '; ', 'CON: ', 'dogs', '; ', 'NIL: ', '.']"
6559,pmb-4.0.0/data/en/gold/p51/d3538/en.drs.xml,"['The', 'room', 'was', 'anything~but', 'tidy', '.']","['the', 'room', 'be', 'anything~but', 'tidy', '.']","[0, 4, 9, 13, 26, 30]","[3, 8, 12, 25, 30, 31]","['DEF', 'CON', 'PST', 'NOT', 'IST', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'room', '; ', 'PST: ', 'was', '; ', 'NOT: ', 'anything~but', '; ', 'IST: ', 'tidy', '; ', 'NIL: ', '.']"
8089,pmb-4.0.0/data/en/gold/p70/d2522/en.drs.xml,"['He', 'unbuttoned', 'his', 'shirt', '.']","['male', 'unbutton', 'male', 'shirt', '.']","[0, 3, 14, 18, 23]","[2, 13, 17, 23, 24]","['PRO', 'EPS', 'HAS', 'CON', 'NIL']","['PRO: ', 'He', '; ', 'EPS: ', 'unbuttoned', '; ', 'HAS: ', 'his', '; ', 'CON: ', 'shirt', '; ', 'NIL: ', '.']"
7657,pmb-4.0.0/data/en/gold/p65/d0886/en.drs.xml,"['The', 'wall', 'is', 'ø', 'two', 'meters', 'thick', '.']","['the', 'wall', 'be', 'ø', '2', 'meter', 'thick', '.']","[0, 4, 9, 12, 12, 16, 23, 28]","[3, 8, 11, -1, 15, 22, 28, 29]","['DEF', 'CON', 'NOW', 'DIS', 'QUC', 'UOM', 'IST', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'wall', '; ', 'NOW: ', 'is', '; ', 'DIS: ', 'ø', '; ', 'QUC: ', 'two', '; ', 'UOM: ', 'meters', '; ', 'IST: ', 'thick', '; ', 'NIL: ', '.']"
3590,pmb-4.0.0/data/en/gold/p21/d3345/en.drs.xml,"['ø', 'Tom', 'ate', 'an', 'apple', '.']","['ø', 'tom', 'eat', 'an', 'apple', '.']","[0, 0, 4, 8, 11, 16]","[-1, 3, 7, 10, 16, 17]","['DEF', 'PER', 'EPS', 'DIS', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'ate', '; ', 'DIS: ', 'an', '; ', 'CON: ', 'apple', '; ', 'NIL: ', '.']"
